This is a logfile generated by pires.obd.readerlat:42.65805558;long:-71.32294288;alt:-3.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ATZELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1462029457601;42.65187576;-71.32947873;4.0;;101kPa;90C;NODATA;29.0%;NODATA;652RPM;NODATA;2.43g/s;null;null;NODATA;Gasoline;45C;NODATA;0km/h;NODATA;5.5%;00:03:42;14.9%;MIL is OFF0 codes;;65.9%;1.0%
1462029463635;42.65182219;-71.32957953;2.0;;101kPa;91C;NODATA;22.0%;NODATA;982RPM;NODATA;2.59g/s;null;null;NODATA;Gasoline;43C;NODATA;10km/h;NODATA;7.0%;00:03:48;14.9%;MIL is OFF0 codes;;66.7%;1.0%
1462029469685;42.65152141;-71.32998955;-1.0;;101kPa;89C;NODATA;65.1%;NODATA;2313RPM;NODATA;22.45g/s;null;null;NODATA;Gasoline;40C;NODATA;34km/h;NODATA;1.6%;00:03:54;23.1%;MIL is OFF0 codes;;69.0%;1.0%
1462029475735;42.65110075;-71.33052937;-1.0;;101kPa;90C;NODATA;52.9%;NODATA;1564RPM;NODATA;11.51g/s;null;null;NODATA;Gasoline;36C;NODATA;44km/h;NODATA;3.9%;00:04:00;20.0%;MIL is OFF0 codes;;69.0%;0.0%
1462029481762;42.6505024;-71.33126617;3.0;;101kPa;89C;NODATA;99.6%;NODATA;2769RPM;NODATA;56.43g/s;null;null;NODATA;Gasoline;35C;NODATA;57km/h;NODATA;-0.8%;00:04:05;52.9%;MIL is OFF0 codes;;57.6%;1.0%
1462029487792;42.64982676;-71.33213944;3.0;;101kPa;89C;NODATA;22.7%;NODATA;1604RPM;NODATA;4.89g/s;null;null;NODATA;Gasoline;38C;NODATA;50km/h;NODATA;0.0%;00:04:12;16.5%;MIL is OFF0 codes;;71.8%;0.0%
1462029493842;42.64934297;-71.33304353;1.0;;101kPa;90C;NODATA;82.0%;NODATA;2103RPM;NODATA;30.81g/s;null;null;NODATA;Gasoline;35C;NODATA;58km/h;NODATA;2.3%;00:04:18;27.5%;MIL is OFF0 codes;;59.2%;1.0%
1462029499878;42.64896071;-71.33383071;3.0;;101kPa;90C;NODATA;24.7%;NODATA;1199RPM;NODATA;4.09g/s;null;null;NODATA;Gasoline;37C;NODATA;56km/h;NODATA;1.6%;00:04:23;16.9%;MIL is OFF0 codes;;69.4%;0.0%
1462029505904;42.64839959;-71.33498699;6.0;;101kPa;91C;NODATA;27.8%;NODATA;1456RPM;NODATA;12.40g/s;null;null;NODATA;Gasoline;35C;NODATA;null;NODATA;1.6%;00:04:29;20.4%;MIL is OFF0 codes;;51.8%;1.0%
1462029511937;42.64786138;-71.33600881;6.0;;101kPa;91C;NODATA;63.9%;NODATA;1411RPM;NODATA;12.65g/s;null;null;NODATA;Gasoline;38C;NODATA;60km/h;NODATA;0.0%;00:04:35;18.4%;MIL is OFF0 codes;;62.0%;1.0%
1462029517984;42.6474072;-71.33680069;7.0;;101kPa;91C;NODATA;22.7%;NODATA;1242RPM;NODATA;3.87g/s;null;null;NODATA;Gasoline;40C;NODATA;38km/h;NODATA;0.0%;00:04:41;15.7%;MIL is OFF0 codes;;69.0%;0.0%
1462029524034;42.64735032;-71.33690478;7.0;;101kPa;90C;NODATA;25.5%;NODATA;614RPM;NODATA;2.82g/s;null;null;NODATA;Gasoline;41C;NODATA;0km/h;NODATA;0.0%;00:04:47;14.9%;MIL is OFF0 codes;;67.1%;0.0%
1462029530082;42.64735032;-71.33690478;7.0;;101kPa;91C;NODATA;27.8%;NODATA;649RPM;NODATA;2.37g/s;null;null;NODATA;Gasoline;42C;NODATA;0km/h;NODATA;-0.8%;00:04:53;14.5%;MIL is OFF0 codes;;59.6%;0.0%
1462029536122;42.64733387;-71.33689263;9.0;;101kPa;91C;NODATA;27.1%;NODATA;631RPM;NODATA;2.23g/s;null;null;NODATA;Gasoline;42C;NODATA;0km/h;NODATA;2.3%;00:04:59;14.5%;MIL is OFF0 codes;;58.8%;0.0%
1462029542176;42.64733387;-71.33689263;9.0;;101kPa;91C;NODATA;27.1%;NODATA;614RPM;NODATA;2.23g/s;null;null;NODATA;Gasoline;43C;NODATA;0km/h;NODATA;3.1%;00:05:05;14.5%;MIL is OFF0 codes;;59.6%;1.0%
1462029548213;42.64734121;-71.33686942;6.0;;101kPa;91C;NODATA;27.5%;NODATA;607RPM;NODATA;2.18g/s;null;null;NODATA;Gasoline;43C;NODATA;0km/h;NODATA;3.1%;00:05:11;14.5%;MIL is OFF0 codes;;59.6%;1.0%
1462029554255;42.64734121;-71.33686942;6.0;;101kPa;92C;NODATA;27.8%;NODATA;592RPM;NODATA;2.18g/s;null;null;NODATA;Gasoline;43C;NODATA;0km/h;NODATA;2.3%;00:05:17;14.5%;MIL is OFF0 codes;;59.6%;1.0%
1462029560276;42.64734121;-71.33686942;6.0;;101kPa;92C;NODATA;27.8%;NODATA;596RPM;NODATA;2.18g/s;null;null;NODATA;Gasoline;43C;NODATA;0km/h;NODATA;2.3%;00:05:23;14.5%;MIL is OFF0 codes;;58.4%;1.0%
1462029566329;42.64715262;-71.33711879;0.0;;101kPa;91C;NODATA;42.0%;NODATA;1020RPM;NODATA;11.56g/s;null;null;NODATA;Gasoline;36C;NODATA;30km/h;NODATA;3.1%;00:05:29;25.5%;MIL is OFF0 codes;;58.0%;1.0%
1462029572377;42.646512;-71.33783107;1.0;;101kPa;88C;NODATA;94.9%;NODATA;3053RPM;NODATA;58.56g/s;null;null;NODATA;Gasoline;31C;NODATA;67km/h;NODATA;0.8%;00:05:35;40.4%;MIL is OFF0 codes;;59.6%;1.0%
1462029578433;42.64550378;-71.33870332;-1.0;;101kPa;90C;NODATA;98.0%;NODATA;2775RPM;NODATA;55.21g/s;null;null;NODATA;Gasoline;30C;NODATA;86km/h;NODATA;0.0%;00:05:41;45.9%;MIL is OFF0 codes;;59.2%;1.0%
1462029584482;42.64440112;-71.33962521;-1.0;;101kPa;90C;NODATA;22.7%;NODATA;2307RPM;NODATA;6.10g/s;null;null;NODATA;Gasoline;35C;NODATA;82km/h;NODATA;0.0%;00:05:47;16.1%;MIL is OFF0 codes;;74.5%;1.0%
1462029590526;42.64341764;-71.34050969;-3.0;;101kPa;90C;NODATA;29.4%;NODATA;1560RPM;NODATA;6.31g/s;null;null;NODATA;Gasoline;34C;NODATA;77km/h;NODATA;0.8%;00:05:53;18.4%;MIL is OFF0 codes;;77.6%;0.0%
